Character,Frequency,Radical_position,Radical,Strokes
的,1,白 106.3,白,8
一,2,一 1.0,一,1
是,3,日 72.5,日,9
不,4,一 1.3,一,4
了,5,亅 6.1,亅,2
在,6,土 32.3,土,6
人,7,人 9.0,人,2
有,8,月 74.2,月,6
我,9,戈 62.3,戈,7
他,10,人 9.3,人,5
这,11,辵 162.4,辵,7
个,12,丨 2.2,丨,3
们,13,人 9.3,人,5
中,14,丨 2.3,丨,4
来,15,木 75.3,木,7
上,16,一 1.2,一,3
大,17,大 37.0,大,3
为,18,丶 3.3,丶,4
和,19,口 30.5,口,8
国,20,囗 31.5,囗,8
地,21,土 32.3,土,6
到,22,刀 18.6,刀,8
以,23,人 9.3,人,4
说,24,言 149.7,言,9
时,25,日 72.3,日,7
要,26,襾 146.3,襾,9
就,27,尢 43.9,尢,12
出,28,凵 17.3,凵,5
会,29,人 9.4,人,6
可,30,口 30.2,口,5
也,31,乙 5.2,乙,3
你,32,人 9.5,人,7
对,33,寸 41.2,寸,5
生,34,生 100.0,生,5
能,35,肉 130.6,肉,10
而,36,而 126.0,而,6
子,37,子 39.0,子,3
那,38,邑 163.4,邑,6
得,39,彳 60.8,彳,11
于,40,二 7.1,二,3
着,41,目 109.6,目,11
下,42,一 1.2,一,3
自,43,自 132.0,自,6
之,44,丿 4.3,丿,3
年,45,干 51.3,干,6
过,46,辵 162.3,辵,6
发,47,又 29.3,又,5
后,48,口 30.3,口,6
作,49,人 9.5,人,7
里,50,里 166.0,里,7
用,51,用 101.0,用,5
道,52,辵 162.9,辵,12
行,53,行 144.0,行,6
所,54,戶 63.4,戶,8
然,55,火 86.8,火,12
家,56,宀 40.7,宀,10
种,57,禾 115.4,禾,9
事,58,亅 6.7,亅,8
成,59,戈 62.3,戈,6
方,60,方 70.0,方,4
多,61,夕 36.3,夕,6
经,62,糸 120.5,糸,8
么,63,丿 4.2,丿,3
去,64,厶 28.3,厶,5
法,65,水 85.5,水,8
学,66,子 39.5,子,8
如,67,女 38.3,女,6
都,68,邑 163.9,邑,10
同,69,口 30.3,口,6
现,70,玉 96.4,玉,8
当,71,小 42.3,小,6
没,72,水 85.4,水,7
动,73,力 19.4,力,6
面,74,面 176.0,面,9
起,75,走 156.3,走,10
看,76,目 109.4,目,9
定,77,宀 40.5,宀,8
天,78,大 37.1,大,4
分,79,刀 18.2,刀,4
还,80,辵 162.4,辵,7
进,81,辵 162.4,辵,7
好,82,女 38.3,女,6
小,83,小 42.0,小,3
部,84,邑 163.8,邑,10
其,85,八 12.6,八,8
些,86,二 7.5,二,8
主,87,丶 3.4,丶,5
样,88,木 75.6,木,10
理,89,玉 96.7,玉,11
心,90,心 61.0,心,4
她,91,女 38.3,女,6
本,92,木 75.1,木,5
前,93,刀 18.7,刀,9
开,94,廾 55.1,廾,4
但,95,人 9.5,人,7
因,96,囗 31.3,囗,6
只,97,口 30.2,口,5
从,98,人 9.2,人,4
想,99,心 61.9,心,13
实,100,宀 40.5,宀,8
日,101,日 72.0,日,4
军,102,車 159.2,車,6
者,103,老 125.4,老,8
意,104,心 61.9,心,13
无,105,无 71.0,无,4
力,106,力 19.0,力,2
它,107,宀 40.2,宀,5
与,108,一 1.3,一,3
长,109,長 168.0,長,4
把,110,手 64.4,手,7
机,111,木 75.2,木,6
十,112,十 24.0,十,2
民,113,氏 83.1,氏,5
第,114,竹 118.5,竹,11
公,115,八 12.2,八,4
此,116,止 77.2,止,6
已,117,己 49.0,己,3
工,118,工 48.0,工,3
使,119,人 9.6,人,8
情,120,心 61.8,心,11
明,121,日 72.4,日,8
性,122,心 61.5,心,8
知,123,矢 111.3,矢,8
全,124,入 11.4,入,6
三,125,一 1.2,一,3
又,126,又 29.0,又,2
关,127,八 12.4,八,6
点,128,火 86.5,火,9
正,129,止 77.1,止,5
业,130,一 1.4,一,5
外,131,夕 36.2,夕,5
将,132,爿 90.6,爿,9
两,133,一 1.6,一,7
高,134,高 189.0,高,10
间,135,門 169.4,門,7
由,136,田 102.0,田,5
问,137,門 169.3,門,6
很,138,彳 60.6,彳,9
最,139,曰 73.8,曰,12
重,140,里 166.2,里,9
并,141,干 51.5,干,6
物,142,牛 93.4,牛,8
手,143,手 64.0,手,4
应,144,广 53.4,广,7
战,145,戈 62.5,戈,9
向,146,口 30.3,口,6
头,147,大 37.2,大,5
文,148,文 67.0,文,4
体,149,人 9.5,人,7
政,150,攴 66.4,攴,9
美,151,羊 123.3,羊,9
相,152,目 109.4,目,9
见,153,見 147.0,見,4
被,154,衣 145.5,衣,10
利,155,刀 18.5,刀,7
什,156,人 9.2,人,4
二,157,二 7.0,二,2
等,158,竹 118.6,竹,12
产,159,立 117.1,立,6
或,160,戈 62.4,戈,8
新,161,斤 69.9,斤,13
己,162,己 49.0,己,3
制,163,刀 18.6,刀,8
身,164,身 158.0,身,7
果,165,木 75.4,木,8
加,166,力 19.3,力,5
西,167,襾 146.0,襾,6
斯,168,斤 69.8,斤,12
月,169,月 74.0,月,4
话,170,言 149.6,言,8
合,171,口 30.3,口,6
回,172,囗 31.3,囗,6
特,173,牛 93.6,牛,10
代,174,人 9.3,人,5
内,175,入 11.2,入,4
信,176,人 9.7,人,9
表,177,衣 145.3,衣,8
化,178,匕 21.2,匕,4
老,179,老 125.0,老,6
给,180,糸 120.6,糸,9
世,181,一 1.4,一,5
位,182,人 9.5,人,7
次,183,欠 76.2,欠,6
度,184,广 53.6,广,9
门,185,門 169.0,門,3
任,186,人 9.4,人,6
常,187,巾 50.8,巾,11
先,188,儿 10.4,儿,6
海,189,水 85.7,水,10
通,190,辵 162.7,辵,10
教,191,攴 66.7,攴,11
儿,192,儿 10.0,儿,2
原,193,厂 27.8,厂,10
东,194,一 1.4,一,5
声,195,士 33.4,士,7
提,196,手 64.9,手,12
立,197,立 117.0,立,5
及,198,又 29.2,又,3
比,199,比 81.0,比,4
员,200,口 30.4,口,7
解,201,角 148.6,角,13
水,202,水 85.0,水,4
名,203,口 30.3,口,6
真,204,目 109.5,目,10
论,205,言 149.4,言,6
处,206,夂 34.2,夂,5
走,207,走 156.0,走,7
义,208,丿 4.2,丿,3
各,209,口 30.3,口,6
入,210,入 11.0,入,2
几,211,几 16.0,几,2
口,212,口 30.0,口,3
认,213,言 149.2,言,4
条,214,木 75.3,木,7
平,215,干 51.2,干,5
系,216,糸 120.1,糸,7
气,217,气 84.0,气,4
题,218,頁 181.9,頁,15
活,219,水 85.6,水,9
尔,220,小 42.2,小,5
更,221,曰 73.3,曰,7
别,222,刀 18.5,刀,7
打,223,手 64.2,手,5
女,224,女 38.0,女,3
变,225,又 29.6,又,8
四,226,囗 31.2,囗,5
神,227,示 113.5,示,9
总,228,八 12.7,八,9
何,229,人 9.5,人,7
电,230,曰 73.1,曰,5
数,231,攴 66.9,攴,13
安,232,宀 40.3,宀,6
少,233,小 42.1,小,4
报,234,手 64.4,手,7
才,235,手 64.0,手,3
结,236,糸 120.6,糸,9
反,237,又 29.2,又,4
受,238,又 29.6,又,8
目,239,目 109.0,目,5
太,240,大 37.1,大,4
量,241,里 166.5,里,12
再,242,冂 13.4,冂,6
感,243,心 61.9,心,13
建,244,廴 54.6,廴,8
务,245,夂 34.2,夂,5
做,246,人 9.9,人,11
接,247,手 64.8,手,11
必,248,心 61.1,心,5
场,249,土 32.3,土,6
件,250,人 9.4,人,6
计,251,言 149.2,言,4
管,252,竹 118.8,竹,14
期,253,月 74.8,月,12
市,254,巾 50.2,巾,5
直,255,目 109.3,目,8
德,256,彳 60.12,彳,15
资,257,貝 154.6,貝,10
命,258,口 30.5,口,8
山,259,山 46.0,山,3
金,260,金 167.0,金,8
指,261,手 64.6,手,9
克,262,儿 10.5,儿,7
许,263,言 149.4,言,6
统,264,糸 120.6,糸,9
区,265,匸 23.2,匸,4
保,266,人 9.7,人,9
至,267,至 133.0,至,6
队,268,阜 170.2,阜,4
形,269,彡 59.4,彡,7
社,270,示 113.3,示,7
便,271,人 9.7,人,9
空,272,穴 116.3,穴,8
决,273,冫 15.4,冫,6
治,274,水 85.5,水,8
展,275,尸 44.7,尸,10
马,276,馬 187.0,馬,3
科,277,禾 115.4,禾,9
司,278,口 30.2,口,5
五,279,二 7.2,二,4
基,280,土 32.8,土,11
眼,281,目 109.6,目,11
书,282,丨 2.3,丨,4
非,283,非 175.0,非,8
则,284,刀 18.4,刀,6
听,285,口 30.4,口,7
白,286,白 106.0,白,5
却,287,卩 26.5,卩,7
界,288,田 102.4,田,9
达,289,辵 162.3,辵,6
光,290,儿 10.4,儿,6
放,291,攴 66.4,攴,8
强,292,弓 57.9,弓,12
即,293,卩 26.5,卩,7
像,294,人 9.12,人,13
难,295,又 29.8,又,10
且,296,一 1.4,一,5
权,297,木 75.2,木,6
思,298,心 61.5,心,9
王,299,玉 96.0,玉,4
象,300,豕 152.5,豕,11
完,301,宀 40.4,宀,7
设,302,言 149.4,言,6
式,303,弋 56.3,弋,6
色,304,色 139.0,色,6
路,305,足 157.6,足,13
记,306,言 149.3,言,5
南,307,十 24.7,十,9
品,308,口 30.6,口,9
住,309,人 9.5,人,7
告,310,口 30.4,口,7
类,311,大 37.6,大,9
求,312,水 85.2,水,7
据,313,手 64.8,手,11
程,314,禾 115.7,禾,12
北,315,匕 21.3,匕,5
边,316,辵 162.2,辵,5
死,317,歹 78.2,歹,6
张,318,弓 57.4,弓,7
该,319,言 149.6,言,8
交,320,亠 8.4,亠,6
规,321,見 147.4,見,8
万,322,一 1.2,一,3
取,323,又 29.6,又,8
拉,324,手 64.5,手,8
格,325,木 75.6,木,10
望,326,月 74.7,月,11
觉,327,見 147.5,見,9
术,328,木 75.1,木,5
领,329,頁 181.5,頁,11
共,330,八 12.4,八,6
确,331,石 112.7,石,12
传,332,人 9.4,人,6
师,333,巾 50.3,巾,6
观,334,見 147.2,見,6
清,335,水 85.8,水,11
今,336,人 9.2,人,4
切,337,刀 18.2,刀,4
院,338,阜 170.7,阜,9
让,339,言 149.3,言,5
识,340,言 149.5,言,7
候,341,人 9.8,人,10
带,342,巾 50.6,巾,9
导,343,寸 41.3,寸,6
争,344,亅 6.5,亅,6
运,345,辵 162.4,辵,7
笑,346,竹 118.4,竹,10
飞,347,乙 5.2,乙,3
风,348,風 182.0,風,4
步,349,止 77.3,止,7
改,350,攴 66.3,攴,7
收,351,攴 66.2,攴,6
根,352,木 75.6,木,10
干,353,干 51.0,干,3
造,354,辵 162.7,辵,10
言,355,言 149.0,言,7
联,356,耳 128.6,耳,12
持,357,手 64.6,手,9
组,358,糸 120.5,糸,8
每,359,毋 80.3,毋,7
济,360,水 85.6,水,9
车,361,車 159.0,車,4
亲,362,立 117.4,立,9
极,363,木 75.3,木,7
林,364,木 75.4,木,8
服,365,月 74.4,月,8
快,366,心 61.4,心,7
办,367,力 19.2,力,4
议,368,言 149.3,言,5
往,369,彳 60.5,彳,8
元,370,儿 10.2,儿,4
英,371,艸 140.5,艸,8
士,372,士 33.0,士,3
证,373,言 149.5,言,7
近,374,辵 162.4,辵,7
失,375,大 37.2,大,5
转,376,車 159.4,車,8
夫,377,大 37.1,大,4
令,378,人 9.3,人,5
准,379,冫 15.8,冫,10
布,380,巾 50.2,巾,5
始,381,女 38.5,女,8
怎,382,心 61.5,心,9
呢,383,口 30.5,口,8
存,384,子 39.3,子,6
未,385,木 75.1,木,5
远,386,辵 162.4,辵,7
叫,387,口 30.2,口,5
台,388,口 30.2,口,5
单,389,八 12.6,八,8
影,390,彡 59.12,彡,15
具,391,八 12.6,八,8
罗,392,网 122.3,网,8
字,393,子 39.3,子,6
爱,394,爪 87.6,爪,10
击,395,凵 17.3,凵,5
流,396,水 85.6,水,10
备,397,夂 34.5,夂,8
兵,398,八 12.5,八,7
连,399,辵 162.4,辵,7
调,400,言 149.8,言,10
深,401,水 85.8,水,11
商,402,口 30.8,口,11
算,403,竹 118.8,竹,14
质,404,厂 27.4,厂,8
团,405,囗 31.3,囗,6
集,406,隹 172.4,隹,12
百,407,白 106.1,白,6
需,408,雨 173.6,雨,14
价,409,人 9.4,人,6
花,410,艸 140.4,艸,7
党,411,儿 10.8,儿,10
华,412,十 24.4,十,6
城,413,土 32.7,土,9
石,414,石 112.0,石,5
级,415,糸 120.3,糸,6
整,416,攴 66.11,攴,16
府,417,广 53.5,广,8
离,418,禸 114.6,禸,10
况,419,冫 15.5,冫,7
亚,420,一 1.5,一,6
请,421,言 149.8,言,10
技,422,手 64.4,手,7
际,423,阜 170.5,阜,7
约,424,糸 120.3,糸,6
示,425,示 113.0,示,5
复,426,夊 35.6,夊,9
病,427,疒 104.5,疒,10
息,428,心 61.6,心,10
究,429,穴 116.2,穴,7
线,430,糸 120.5,糸,8
似,431,人 9.5,人,6
官,432,宀 40.5,宀,8
火,433,火 86.0,火,4
断,434,斤 69.7,斤,11
精,435,米 119.8,米,14
满,436,水 85.10,水,13
支,437,支 65.0,支,4
视,438,見 147.4,見,8
消,439,水 85.7,水,10
越,440,走 156.5,走,12
器,441,口 30.13,口,16
容,442,宀 40.7,宀,10
照,443,火 86.9,火,13
须,444,彡 59.6,彡,9
九,445,乙 5.1,乙,2
增,446,土 32.12,土,15
研,447,石 112.6,石,9
写,448,冖 14.3,冖,5
称,449,禾 115.5,禾,10
企,450,人 9.4,人,6
八,451,八 12.0,八,2
功,452,力 19.3,力,5
吗,453,口 30.3,口,6
包,454,勹 20.3,勹,5
片,455,片 91.0,片,4
史,456,口 30.2,口,5
委,457,女 38.5,女,8
乎,458,丿 4.4,丿,5
查,459,木 75.5,木,9
轻,460,車 159.5,車,9
易,461,日 72.4,日,8
早,462,日 72.2,日,6
曾,463,曰 73.8,曰,12
除,464,阜 170.7,阜,9
农,465,冖 14.4,冖,6
找,466,手 64.4,手,7
装,467,衣 145.6,衣,12
广,468,广 53.0,广,3
显,469,日 72.5,日,9
吧,470,口 30.4,口,7
阿,471,阜 170.5,阜,7
李,472,木 75.3,木,7
标,473,木 75.5,木,9
谈,474,言 149.8,言,10
吃,475,口 30.3,口,6
图,476,囗 31.5,囗,8
念,477,心 61.4,心,8
六,478,八 12.2,八,4
引,479,弓 57.1,弓,4
历,480,厂 27.2,厂,4
首,481,首 185.0,首,9
医,482,匸 23.5,匸,7
局,483,尸 44.4,尸,7
突,484,穴 116.4,穴,9
专,485,一 1.3,一,4
费,486,貝 154.5,貝,9
号,487,口 30.2,口,5
尽,488,尸 44.3,尸,6
另,489,口 30.2,口,5
周,490,口 30.5,口,8
较,491,車 159.6,車,10
注,492,水 85.5,水,8
语,493,言 149.7,言,9
仅,494,人 9.2,人,4
考,495,老 125.0,老,6
落,496,艸 140.9,艸,12
青,497,青 174.0,青,8
随,498,阜 170.10,阜,11
选,499,辵 162.6,辵,9
列,500,刀 18.4,刀,6
武,501,止 77.4,止,8
红,502,糸 120.3,糸,6
响,503,口 30.6,口,9
虽,504,虫 142.3,虫,9
推,505,手 64.8,手,11
势,506,力 19.6,力,8
参,507,厶 28.6,厶,8
希,508,巾 50.4,巾,7
古,509,口 30.2,口,5
众,510,人 9.4,人,6
构,511,木 75.4,木,8
房,512,戶 63.4,戶,8
半,513,十 24.3,十,5
节,514,艸 140.2,艸,5
土,515,土 32.0,土,3
投,516,手 64.4,手,7
某,517,木 75.5,木,9
案,518,木 75.6,木,10
黑,519,黑 203.0,黑,12
维,520,糸 120.8,糸,11
革,521,革 177.0,革,9
划,522,刀 18.4,刀,6
敌,523,舌 135.4,舌,10
致,524,至 133.3,至,10
陈,525,阜 170.5,阜,7
律,526,彳 60.6,彳,9
足,527,足 157.0,足,7
态,528,心 61.4,心,8
护,529,手 64.4,手,7
七,530,一 1.1,一,2
兴,531,八 12.4,八,6
派,532,水 85.6,水,9
孩,533,子 39.6,子,9
验,534,馬 187.7,馬,10
责,535,貝 154.4,貝,8
营,536,艸 140.8,艸,11
星,537,日 72.5,日,9
够,538,夕 36.8,夕,11
章,539,立 117.6,立,11
音,540,音 180.0,音,9
跟,541,足 157.6,足,13
志,542,心 61.3,心,7
底,543,广 53.5,广,8
站,544,立 117.5,立,10
严,545,一 1.6,一,7
巴,546,己 49.1,己,4
例,547,人 9.6,人,8
防,548,阜 170.4,阜,6
族,549,方 70.7,方,11
供,550,人 9.6,人,8
效,551,攴 66.6,攴,10
续,552,糸 120.8,糸,11
施,553,方 70.5,方,9
留,554,田 102.5,田,10
讲,555,言 149.4,言,6
型,556,土 32.6,土,9
料,557,斗 68.6,斗,10
终,558,糸 120.5,糸,8
答,559,竹 118.6,竹,12
紧,560,糸 120.4,糸,10
黄,561,黃 201.0,黃,11
绝,562,糸 120.6,糸,9
奇,563,大 37.5,大,8
察,564,宀 40.11,宀,14
母,565,毋 80.1,毋,5
京,566,亠 8.6,亠,8
段,567,殳 79.5,殳,9
依,568,人 9.6,人,8
批,569,手 64.4,手,7
群,570,羊 123.7,羊,13
项,571,頁 181.3,頁,9
故,572,攴 66.5,攴,9
按,573,手 64.6,手,9
河,574,水 85.5,水,8
米,575,米 119.0,米,6
围,576,囗 31.4,囗,7
江,577,水 85.3,水,6
织,578,糸 120.5,糸,8
害,579,宀 40.7,宀,10
斗,580,斗 68.0,斗,4
双,581,又 29.2,又,4
境,582,土 32.11,土,14
客,583,宀 40.6,宀,9
纪,584,糸 120.3,糸,6
采,585,釆 165.1,釆,8
举,586,丶 3.8,丶,9
杀,587,木 75.2,木,6
攻,588,攴 66.3,攴,7
父,589,父 88.0,父,4
苏,590,艸 140.4,艸,7
密,591,宀 40.8,宀,11
低,592,人 9.5,人,7
朝,593,月 74.8,月,12
友,594,又 29.2,又,4
诉,595,言 149.5,言,7
止,596,止 77.0,止,4
细,597,糸 120.5,糸,8
愿,598,心 61.10,心,14
千,599,十 24.1,十,3
值,600,人 9.8,人,10
仍,601,人 9.2,人,4
男,602,田 102.2,田,7
钱,603,金 167.5,金,10
破,604,石 112.5,石,10
网,605,网 122.0,网,6
热,606,火 86.6,火,10
助,607,力 19.5,力,7
倒,608,人 9.8,人,10
育,609,肉 130.4,肉,8
属,610,尸 44.9,尸,12
坐,611,土 32.4,土,7
帝,612,巾 50.6,巾,9
限,613,阜 170.6,阜,8
船,614,舟 137.5,舟,11
脸,615,肉 130.7,肉,11
职,616,耳 128.5,耳,11
速,617,辵 162.7,辵,10
刻,618,刀 18.6,刀,8
乐,619,丿 4.4,丿,5
否,620,口 30.4,口,7
刚,621,刀 18.4,刀,6
威,622,女 38.6,女,9
毛,623,毛 82.0,毛,4
状,624,犬 94.3,犬,7
率,625,玄 95.6,玄,11
甚,626,甘 99.4,甘,9
独,627,犬 94.6,犬,9
球,628,玉 96.7,玉,11
般,629,舟 137.4,舟,10
普,630,日 72.8,日,12
怕,631,心 61.5,心,8
弹,632,弓 57.8,弓,11
校,633,木 75.6,木,10
苦,634,艸 140.5,艸,8
创,635,刀 18.4,刀,6
假,636,人 9.9,人,11
久,637,丿 4.2,丿,3
错,638,金 167.8,金,13
承,639,手 64.4,手,8
印,640,卩 26.4,卩,5
晚,641,日 72.7,日,11
兰,642,八 12.3,八,5
试,643,言 149.6,言,8
股,644,肉 130.4,肉,8
拿,645,手 64.6,手,10
脑,646,肉 130.6,肉,10
预,647,頁 181.4,頁,10
谁,648,言 149.8,言,10
益,649,皿 108.5,皿,10
阳,650,阜 170.4,阜,6
若,651,艸 140.5,艸,8
哪,652,口 30.7,口,9
微,653,彳 60.10,彳,13
尼,654,尸 44.2,尸,5
继,655,糸 120.7,糸,10
送,656,辵 162.6,辵,9
急,657,心 61.5,心,9
血,658,血 143.0,血,6
惊,659,心 61.8,心,11
伤,660,人 9.4,人,6
素,661,糸 120.4,糸,10
药,662,艸 140.6,艸,9
适,663,辵 162.6,辵,9
波,664,水 85.5,水,8
夜,665,夕 36.5,夕,8
省,666,目 109.4,目,9
初,667,刀 18.5,刀,7
喜,668,口 30.9,口,12
卫,669,乙 5.2,乙,3
源,670,水 85.10,水,13
食,671,食 184.0,食,9
险,672,阜 170.7,阜,9
待,673,彳 60.6,彳,9
述,674,辵 162.5,辵,8
陆,675,阜 170.5,阜,7
习,676,冫 15.1,冫,3
置,677,网 122.8,网,13
居,678,尸 44.5,尸,8
劳,679,力 19.5,力,7
财,680,貝 154.3,貝,7
环,681,玉 96.4,玉,8
排,682,手 64.8,手,11
福,683,示 113.9,示,13
纳,684,糸 120.4,糸,7
欢,685,欠 76.2,欠,6
雷,686,雨 173.5,雨,13
警,687,言 149.13,言,19
获,688,艸 140.7,艸,10
模,689,木 75.11,木,14
充,690,儿 10.4,儿,6
负,691,貝 154.2,貝,6
云,692,二 7.2,二,4
停,693,人 9.9,人,11
木,694,木 75.0,木,4
游,695,水 85.9,水,12
龙,696,龍 212.0,龍,5
树,697,木 75.5,木,9
疑,698,疋 103.9,疋,14
层,699,尸 44.4,尸,7
冷,700,冫 15.5,冫,7
洲,701,水 85.6,水,9
冲,702,冫 15.4,冫,6
射,703,寸 41.7,寸,10
略,704,田 102.6,田,11
范,705,艸 140.5,艸,8
竟,706,立 117.6,立,11
句,707,口 30.2,口,5
室,708,宀 40.6,宀,9
异,709,廾 55.3,廾,6
激,710,水 85.13,水,16
汉,711,水 85.2,水,5
村,712,木 75.3,木,7
哈,713,口 30.6,口,9
策,714,竹 118.6,竹,12
演,715,水 85.11,水,14
简,716,竹 118.7,竹,13
卡,717,卜 25.3,卜,5
罪,718,网 122.8,网,13
判,719,刀 18.5,刀,7
担,720,手 64.5,手,8
州,721,巛 47.3,巛,6
静,722,青 174.6,青,14
退,723,辵 162.6,辵,9
既,724,无 71.5,无,9
衣,725,衣 145.0,衣,6
您,726,心 61.7,心,11
宗,727,宀 40.5,宀,8
积,728,禾 115.5,禾,10
余,729,人 9.5,人,7
痛,730,疒 104.7,疒,12
检,731,木 75.7,木,11
差,732,工 48.7,工,9
富,733,宀 40.9,宀,12
灵,734,彐 58.4,彐,7
协,735,十 24.4,十,6
角,736,角 148.0,角,7
占,737,卜 25.3,卜,5
配,738,酉 164.3,酉,10
征,739,彳 60.5,彳,8
修,740,人 9.8,人,9
皮,741,皮 107.0,皮,5
挥,742,手 64.6,手,9
胜,743,肉 130.5,肉,9
降,744,阜 170.6,阜,8
阶,745,阜 170.4,阜,6
审,746,宀 40.5,宀,8
沉,747,水 85.4,水,7
坚,748,土 32.4,土,7
善,749,口 30.9,口,12
妈,750,女 38.3,女,6
刘,751,刀 18.4,刀,6
读,752,言 149.8,言,10
啊,753,口 30.8,口,10
超,754,走 156.5,走,12
免,755,儿 10.5,儿,7
压,756,厂 27.4,厂,6
银,757,金 167.6,金,11
买,758,大 37.3,大,6
皇,759,白 106.4,白,9
养,760,八 12.7,八,9
伊,761,人 9.4,人,6
怀,762,心 61.4,心,7
执,763,手 64.3,手,6
副,764,刀 18.9,刀,11
乱,765,乙 5.6,乙,7
抗,766,手 64.4,手,7
犯,767,犬 94.2,犬,5
追,768,辵 162.6,辵,9
帮,769,巾 50.7,巾,9
宣,770,宀 40.6,宀,9
佛,771,人 9.5,人,7
岁,772,山 46.3,山,6
航,773,舟 137.4,舟,10
优,774,人 9.4,人,6
怪,775,心 61.5,心,8
香,776,香 186.0,香,9
著,777,艸 140.8,艸,11
田,778,田 102.0,田,5
铁,779,金 167.5,金,10
控,780,手 64.8,手,11
税,781,禾 115.7,禾,12
左,782,工 48.2,工,5
右,783,口 30.2,口,5
份,784,人 9.4,人,6
穿,785,穴 116.4,穴,9
艺,786,艸 140.1,艸,4
背,787,肉 130.5,肉,9
阵,788,阜 170.4,阜,6
草,789,艸 140.6,艸,9
脚,790,肉 130.7,肉,11
概,791,木 75.9,木,13
恶,792,心 61.6,心,10
块,793,土 32.4,土,7
顿,794,頁 181.4,頁,10
敢,795,攴 66.8,攴,11
守,796,宀 40.3,宀,6
酒,797,酉 164.3,酉,10
岛,798,山 46.4,山,7
托,799,手 64.3,手,6
央,800,大 37.2,大,5
户,801,戶 63.0,戶,4
烈,802,火 86.6,火,10
洋,803,水 85.6,水,9
哥,804,口 30.7,口,10
索,805,糸 120.4,糸,10
胡,806,肉 130.5,肉,9
款,807,欠 76.8,欠,12
靠,808,非 175.7,非,15
评,809,言 149.5,言,7
版,810,片 91.4,片,8
宝,811,宀 40.5,宀,8
座,812,广 53.7,广,10
释,813,釆 165.5,釆,12
景,814,日 72.8,日,12
顾,815,頁 181.4,頁,10
弟,816,弓 57.4,弓,7
登,817,癶 105.7,癶,12
货,818,貝 154.4,貝,8
互,819,二 7.2,二,4
付,820,人 9.3,人,5
伯,821,人 9.5,人,7
慢,822,心 61.11,心,14
欧,823,欠 76.4,欠,8
换,824,手 64.7,手,10
闻,825,門 169.6,門,9
危,826,卩 26.4,卩,6
忙,827,心 61.3,心,6
核,828,木 75.6,木,10
暗,829,日 72.9,日,13
姐,830,女 38.5,女,8
介,831,人 9.2,人,4
坏,832,土 32.4,土,7
讨,833,言 149.3,言,5
丽,834,丶 3.7,丶,7
良,835,艮 138.1,艮,7
序,836,广 53.4,广,7
升,837,十 24.2,十,4
监,838,皿 108.5,皿,10
临,839,丨 2.8,丨,9
亮,840,亠 8.7,亠,9
露,841,雨 173.12,雨,21
永,842,水 85.1,水,5
呼,843,口 30.5,口,8
味,844,口 30.5,口,8
野,845,里 166.4,里,11
架,846,木 75.5,木,9
域,847,土 32.8,土,11
沙,848,水 85.4,水,7
掉,849,手 64.8,手,11
括,850,手 64.6,手,9
舰,851,舟 137.4,舟,10
鱼,852,魚 195.0,魚,8
杂,853,木 75.2,木,6
误,854,言 149.7,言,9
湾,855,水 85.9,水,12
吉,856,口 30.3,口,6
减,857,冫 15.9,冫,11
编,858,糸 120.9,糸,12
楚,859,木 75.9,木,13
肯,860,肉 130.4,肉,8
测,861,水 85.6,水,9
败,862,貝 154.4,貝,8
屋,863,尸 44.6,尸,9
跑,864,足 157.5,足,12
梦,865,木 75.7,木,11
散,866,攴 66.8,攴,12
温,867,水 85.9,水,12
困,868,囗 31.4,囗,7
剑,869,刀 18.7,刀,9
渐,870,水 85.8,水,11
封,871,寸 41.6,寸,9
救,872,攴 66.7,攴,11
贵,873,貝 154.5,貝,9
枪,874,木 75.4,木,8
缺,875,缶 121.4,缶,10
楼,876,木 75.9,木,13
县,877,厶 28.5,厶,7
尚,878,小 42.5,小,8
毫,879,毛 82.7,毛,11
移,880,禾 115.6,禾,11
娘,881,女 38.7,女,10
朋,882,月 74.4,月,8
画,883,田 102.3,田,8
班,884,玉 96.6,玉,10
智,885,日 72.8,日,12
亦,886,亠 8.4,亠,6
耳,887,耳 128.0,耳,6
恩,888,心 61.6,心,10
短,889,矢 111.7,矢,12
掌,890,手 64.8,手,12
恐,891,心 61.6,心,10
遗,892,辵 162.9,辵,12
固,893,囗 31.5,囗,8
席,894,巾 50.7,巾,10
松,895,木 75.4,木,8
秘,896,禾 115.5,禾,10
谢,897,言 149.10,言,12
鲁,898,魚 195.4,魚,12
遇,899,辵 162.9,辵,12
康,900,广 53.8,广,11
虑,901,心 61.6,心,10
幸,902,干 51.5,干,8
均,903,土 32.4,土,7
销,904,金 167.7,金,12
钟,905,金 167.4,金,9
诗,906,言 149.6,言,8
藏,907,艸 140.14,艸,17
赶,908,走 156.3,走,10
剧,909,刀 18.8,刀,10
票,910,示 113.6,示,11
损,911,手 64.7,手,10
忽,912,心 61.4,心,8
巨,913,工 48.2,工,4
炮,914,火 86.5,火,9
旧,915,日 72.1,日,5
端,916,立 117.9,立,14
探,917,手 64.8,手,11
湖,918,水 85.9,水,12
录,919,彐 58.5,彐,8
叶,920,口 30.2,口,5
春,921,日 72.5,日,9
乡,922,幺 52.0,幺,3
附,923,阜 170.5,阜,7
吸,924,口 30.4,口,6
予,925,亅 6.3,亅,4
礼,926,示 113.1,示,5
港,927,水 85.9,水,12
雨,928,雨 173.0,雨,8
