Character,Frequency,Radical_position,Radical,Strokes
恙,3728,心 61.6,心,10
抿,3729,手 64.5,手,8
桢,3730,木 75.6,木,10
笺,3731,竹 118.5,竹,11
蛤,3732,虫 142.6,虫,12
瞳,3733,目 109.12,目,17
藥,3734,艸 140.15,艸,18
瓢,3735,瓜 97.11,瓜,16
衹,3736,衣 145.4,衣,9
秤,3737,禾 115.5,禾,10
跺,3738,足 157.6,足,13
潦,3739,水 85.12,水,15
芹,3740,艸 140.4,艸,7
哒,3741,口 30.6,口,9
饬,3742,食 184.4,食,7
栩,3743,木 75.6,木,10
曦,3744,日 72.16,日,20
骷,3745,骨 188.5,骨,14
嫡,3746,女 38.11,女,14
卤,3747,卜 25.5,卜,7
丕,3748,一 1.4,一,5
鬓,3749,髟 190.10,髟,20
梓,3750,木 75.7,木,11
嗖,3751,口 30.10,口,12
惦,3752,心 61.8,心,11
浚,3753,水 85.7,水,10
咔,3754,口 30.5,口,8
藐,3755,艸 140.14,艸,17
荃,3756,艸 140.6,艸,9
唧,3757,口 30.7,口,10
玺,3758,玉 96.5,玉,10
汛,3759,水 85.3,水,6
铐,3760,金 167.6,金,11
髅,3761,骨 188.9,骨,18
渤,3762,水 85.9,水,12
皿,3763,皿 108.0,皿,5
箍,3764,竹 118.8,竹,14
馅,3765,食 184.8,食,11
汾,3766,水 85.4,水,7
戍,3767,戈 62.2,戈,6
痔,3768,疒 104.6,疒,11
褶,3769,衣 145.11,衣,16
聆,3770,耳 128.5,耳,11
涎,3771,水 85.7,水,9
汞,3772,水 85.3,水,7
渍,3773,水 85.8,水,11
奂,3774,大 37.4,大,7
巅,3775,山 46.16,山,19
疣,3776,疒 104.4,疒,9
傩,3777,人 9.10,人,12
逵,3778,辵 162.8,辵,11
耆,3779,老 125.4,老,10
蟋,3780,虫 142.11,虫,17
鳄,3781,魚 195.9,魚,17
讹,3782,言 149.4,言,6
膺,3783,肉 130.13,肉,17
蹿,3784,足 157.12,足,19
筏,3785,竹 118.6,竹,12
釜,3786,金 167.2,金,10
沂,3787,水 85.4,水,7
坯,3788,土 32.5,土,8
峦,3789,山 46.6,山,9
茬,3790,艸 140.6,艸,9
摒,3791,手 64.11,手,12
蟀,3792,虫 142.11,虫,17
撵,3793,手 64.12,手,15
浒,3794,水 85.6,水,9
缤,3795,糸 120.10,糸,13
嵋,3796,山 46.9,山,12
珑,3797,玉 96.5,玉,9
苞,3798,艸 140.5,艸,8
瑾,3799,玉 96.11,玉,15
泵,3800,水 85.5,水,9
钾,3801,金 167.5,金,10
暧,3802,日 72.10,日,14
赓,3803,广 53.9,广,12
叟,3804,又 29.8,又,9
佚,3805,人 9.5,人,7
沓,3806,水 85.4,水,8
撂,3807,手 64.11,手,14
蛊,3808,虫 142.5,虫,11
甥,3809,生 100.7,生,12
璐,3810,玉 96.12,玉,17
晏,3811,日 72.6,日,10
瘪,3812,疒 104.10,疒,15
漳,3813,水 85.11,水,14
阉,3814,門 169.8,門,11
蹂,3815,足 157.9,足,16
鳃,3816,魚 195.9,魚,17
琏,3817,玉 96.7,玉,11
湃,3818,水 85.9,水,12
辘,3819,車 159.11,車,15
僭,3820,人 9.12,人,14
躏,3821,足 157.14,足,21
鼾,3822,鼻 209.3,鼻,17
懵,3823,心 61.16,心,18
镰,3824,金 167.13,金,18
寐,3825,宀 40.9,宀,12
褚,3826,衣 145.9,衣,13
攥,3827,手 64.20,手,23
涧,3828,水 85.7,水,10
蝙,3829,虫 142.9,虫,15
脐,3830,肉 130.6,肉,10
辕,3831,車 159.10,車,14
涣,3832,水 85.7,水,10
杞,3833,木 75.3,木,7
煜,3834,火 86.9,火,13
骥,3835,馬 187.16,馬,19
傣,3836,人 9.10,人,12
嗳,3837,口 30.10,口,13
祯,3838,示 113.6,示,10
酉,3839,酉 164.0,酉,7
秸,3840,禾 115.6,禾,11
捺,3841,手 64.8,手,11
瑕,3842,玉 96.9,玉,13
鑫,3843,金 167.16,金,24
馋,3844,食 184.9,食,12
窿,3845,穴 116.12,穴,16
楔,3846,木 75.9,木,13
